公告,#genre#
更新日期,https://gitlab.com/lr77/IPTV/-/raw/main/%E4%B8%BB%E8%A7%92.mp4
2026-09-08 10:34:57,https://gitlab.com/lr77/IPTV/-/raw/main/%E8%B5%B7%E9%A3%8E%E4%BA%86.mp4
4K频道,#genre#
北京卫视4K,http://111.193.238.81:9999/rtp/239.3.1.140:8001
北京卫视4K,http://111.193.238.81:9999/rtp/239.3.1.139:8001
东方卫视4K,http://111.193.238.81:9999/rtp/239.3.1.119:3006
广东卫视4K,http://111.193.238.81:9999/rtp/239.3.1.203:2000
深圳卫视4K,http://111.193.238.81:9999/rtp/239.3.1.202:2000
湖南卫视4K,http://111.193.238.81:9999/rtp/239.3.1.112:3002
山东卫视4K,http://111.193.238.81:9999/rtp/239.3.1.144:3005
四川卫视4K,http://111.193.238.81:9999/rtp/239.3.1.131:3001
浙江卫视4K,http://111.193.238.81:9999/rtp/239.3.1.114:3004
江苏卫视4K,http://111.193.238.81:9999/rtp/239.3.1.113:3003
爱上4K,http://111.193.238.81:9999/rtp/239.3.1.236:2000
北京卫视4K,http://114.248.10.25:8888/rtp/239.3.1.140:8001
北京卫视4K,http://114.248.10.25:8888/rtp/239.3.1.139:8001
东方卫视4K,http://114.248.10.25:8888/rtp/239.3.1.119:3006
广东卫视4K,http://114.248.10.25:8888/rtp/239.3.1.203:2000
深圳卫视4K,http://114.248.10.25:8888/rtp/239.3.1.202:2000
湖南卫视4K,http://114.248.10.25:8888/rtp/239.3.1.112:3002
山东卫视4K,http://114.248.10.25:8888/rtp/239.3.1.144:3005
四川卫视4K,http://114.248.10.25:8888/rtp/239.3.1.131:3001
浙江卫视4K,http://114.248.10.25:8888/rtp/239.3.1.114:3004
江苏卫视4K,http://114.248.10.25:8888/rtp/239.3.1.113:3003
爱上4K,http://114.248.10.25:8888/rtp/239.3.1.236:2000
北京卫视4K,http://123.120.140.242:4023/rtp/239.3.1.140:8001
北京卫视4K,http://123.120.140.242:4023/rtp/239.3.1.139:8001
东方卫视4K,http://123.120.140.242:4023/rtp/239.3.1.119:3006
广东卫视4K,http://123.120.140.242:4023/rtp/239.3.1.203:2000
深圳卫视4K,http://123.120.140.242:4023/rtp/239.3.1.202:2000
湖南卫视4K,http://123.120.140.242:4023/rtp/239.3.1.112:3002
山东卫视4K,http://123.120.140.242:4023/rtp/239.3.1.144:3005
四川卫视4K,http://123.120.140.242:4023/rtp/239.3.1.131:3001
浙江卫视4K,http://123.120.140.242:4023/rtp/239.3.1.114:3004
江苏卫视4K,http://123.120.140.242:4023/rtp/239.3.1.113:3003
爱上4K,http://123.120.140.242:4023/rtp/239.3.1.236:2000
北京卫视4K,http://123.122.50.72:6688/rtp/239.3.1.140:8001
北京卫视4K,http://123.122.50.72:6688/rtp/239.3.1.139:8001
东方卫视4K,http://123.122.50.72:6688/rtp/239.3.1.119:3006
广东卫视4K,http://123.122.50.72:6688/rtp/239.3.1.203:2000
深圳卫视4K,http://123.122.50.72:6688/rtp/239.3.1.202:2000
湖南卫视4K,http://123.122.50.72:6688/rtp/239.3.1.112:3002
山东卫视4K,http://123.122.50.72:6688/rtp/239.3.1.144:3005
四川卫视4K,http://123.122.50.72:6688/rtp/239.3.1.131:3001
浙江卫视4K,http://123.122.50.72:6688/rtp/239.3.1.114:3004
江苏卫视4K,http://123.122.50.72:6688/rtp/239.3.1.113:3003
爱上4K,http://123.122.50.72:6688/rtp/239.3.1.236:2000
CCTV4K,http://223.72.47.103:4022/rtp/228.1.1.227:2000
北京卫视4K,http://223.72.47.103:4022/rtp/228.1.1.235:8002
东方卫视4K,http://223.72.47.103:4022/rtp/228.1.1.43:3006
广东卫视4K,http://223.72.47.103:4022/rtp/228.1.1.241:2000
深圳卫视4K,http://223.72.47.103:4022/rtp/228.1.1.240:2000
湖南卫视4K,http://223.72.47.103:4022/rtp/228.1.1.40:3002
山东卫视4K,http://223.72.47.103:4022/rtp/228.1.1.46:3006
四川卫视4K,http://223.72.47.103:4022/rtp/228.1.1.47:3000
浙江卫视4K,http://223.72.47.103:4022/rtp/228.1.1.45:3004
江苏卫视4K,http://223.72.47.103:4022/rtp/228.1.1.41:3002
爱上4K,http://223.72.47.103:4022/rtp/228.1.1.38:2000
北京4K超清,http://223.72.47.103:4022/rtp/228.1.1.123:8001
央视频道,#genre#
CCTV1,http://111.193.238.81:9999/rtp/239.3.1.129:8008
CCTV2,http://111.193.238.81:9999/rtp/239.3.1.60:8084
CCTV3,http://111.193.238.81:9999/rtp/239.3.1.172:8001
CCTV4,http://111.193.238.81:9999/rtp/239.3.1.105:8092
CCTV4欧洲,http://111.193.238.81:9999/rtp/239.3.1.213:4220
CCTV4美洲,http://111.193.238.81:9999/rtp/239.3.1.214:4220
CCTV5,http://111.193.238.81:9999/rtp/239.3.1.173:8001
CCTV5+,http://111.193.238.81:9999/rtp/239.3.1.130:8004
CCTV6,http://111.193.238.81:9999/rtp/239.3.1.174:8001
CCTV7,http://111.193.238.81:9999/rtp/239.3.1.61:8104
CCTV8,http://111.193.238.81:9999/rtp/239.3.1.175:8001
CCTV9,http://111.193.238.81:9999/rtp/239.3.1.62:8112
CCTV10,http://111.193.238.81:9999/rtp/239.3.1.63:8116
CCTV11,http://111.193.238.81:9999/rtp/239.3.1.152:8120
CCTV12,http://111.193.238.81:9999/rtp/239.3.1.64:8124
CCTV13,http://111.193.238.81:9999/rtp/239.3.1.124:8128
CCTV14,http://111.193.238.81:9999/rtp/239.3.1.65:8132
CCTV15,http://111.193.238.81:9999/rtp/239.3.1.153:8136
CCTV16,http://111.193.238.81:9999/rtp/239.3.1.184:8001
CCTV17,http://111.193.238.81:9999/rtp/239.3.1.151:8144
央视网CCTV3,http://111.193.238.81:9999/rtp/239.3.1.193:8012
央视网CCTV5,http://111.193.238.81:9999/rtp/239.3.1.89:4120
央视网CCTV8,http://111.193.238.81:9999/rtp/239.3.1.85:4120
央视网CCTV10,http://111.193.238.81:9999/rtp/239.3.1.86:4120
CCTV1,http://114.248.10.25:8888/rtp/239.3.1.129:8008
CCTV2,http://114.248.10.25:8888/rtp/239.3.1.60:8084
CCTV3,http://114.248.10.25:8888/rtp/239.3.1.172:8001
CCTV4,http://114.248.10.25:8888/rtp/239.3.1.105:8092
CCTV4欧洲,http://114.248.10.25:8888/rtp/239.3.1.213:4220
CCTV4美洲,http://114.248.10.25:8888/rtp/239.3.1.214:4220
CCTV5,http://114.248.10.25:8888/rtp/239.3.1.173:8001
CCTV5+,http://114.248.10.25:8888/rtp/239.3.1.130:8004
CCTV6,http://114.248.10.25:8888/rtp/239.3.1.174:8001
CCTV7,http://114.248.10.25:8888/rtp/239.3.1.61:8104
CCTV8,http://114.248.10.25:8888/rtp/239.3.1.175:8001
CCTV9,http://114.248.10.25:8888/rtp/239.3.1.62:8112
CCTV10,http://114.248.10.25:8888/rtp/239.3.1.63:8116
CCTV11,http://114.248.10.25:8888/rtp/239.3.1.152:8120
CCTV12,http://114.248.10.25:8888/rtp/239.3.1.64:8124
CCTV13,http://114.248.10.25:8888/rtp/239.3.1.124:8128
CCTV14,http://114.248.10.25:8888/rtp/239.3.1.65:8132
CCTV15,http://114.248.10.25:8888/rtp/239.3.1.153:8136
CCTV16,http://114.248.10.25:8888/rtp/239.3.1.184:8001
CCTV17,http://114.248.10.25:8888/rtp/239.3.1.151:8144
央视网CCTV3,http://114.248.10.25:8888/rtp/239.3.1.193:8012
央视网CCTV5,http://114.248.10.25:8888/rtp/239.3.1.89:4120
央视网CCTV8,http://114.248.10.25:8888/rtp/239.3.1.85:4120
央视网CCTV10,http://114.248.10.25:8888/rtp/239.3.1.86:4120
CCTV1,http://123.120.140.242:4023/rtp/239.3.1.129:8008
CCTV2,http://123.120.140.242:4023/rtp/239.3.1.60:8084
CCTV3,http://123.120.140.242:4023/rtp/239.3.1.172:8001
CCTV4,http://123.120.140.242:4023/rtp/239.3.1.105:8092
CCTV4欧洲,http://123.120.140.242:4023/rtp/239.3.1.213:4220
CCTV4美洲,http://123.120.140.242:4023/rtp/239.3.1.214:4220
CCTV5,http://123.120.140.242:4023/rtp/239.3.1.173:8001
CCTV5+,http://123.120.140.242:4023/rtp/239.3.1.130:8004
CCTV6,http://123.120.140.242:4023/rtp/239.3.1.174:8001
CCTV7,http://123.120.140.242:4023/rtp/239.3.1.61:8104
CCTV8,http://123.120.140.242:4023/rtp/239.3.1.175:8001
CCTV9,http://123.120.140.242:4023/rtp/239.3.1.62:8112
CCTV10,http://123.120.140.242:4023/rtp/239.3.1.63:8116
CCTV11,http://123.120.140.242:4023/rtp/239.3.1.152:8120
CCTV12,http://123.120.140.242:4023/rtp/239.3.1.64:8124
CCTV13,http://123.120.140.242:4023/rtp/239.3.1.124:8128
CCTV14,http://123.120.140.242:4023/rtp/239.3.1.65:8132
CCTV15,http://123.120.140.242:4023/rtp/239.3.1.153:8136
CCTV16,http://123.120.140.242:4023/rtp/239.3.1.184:8001
CCTV17,http://123.120.140.242:4023/rtp/239.3.1.151:8144
央视网CCTV3,http://123.120.140.242:4023/rtp/239.3.1.193:8012
央视网CCTV5,http://123.120.140.242:4023/rtp/239.3.1.89:4120
央视网CCTV8,http://123.120.140.242:4023/rtp/239.3.1.85:4120
央视网CCTV10,http://123.120.140.242:4023/rtp/239.3.1.86:4120
CCTV1,http://123.122.50.72:6688/rtp/239.3.1.129:8008
CCTV2,http://123.122.50.72:6688/rtp/239.3.1.60:8084
CCTV3,http://123.122.50.72:6688/rtp/239.3.1.172:8001
CCTV4,http://123.122.50.72:6688/rtp/239.3.1.105:8092
CCTV4欧洲,http://123.122.50.72:6688/rtp/239.3.1.213:4220
CCTV4美洲,http://123.122.50.72:6688/rtp/239.3.1.214:4220
CCTV5,http://123.122.50.72:6688/rtp/239.3.1.173:8001
CCTV5+,http://123.122.50.72:6688/rtp/239.3.1.130:8004
CCTV6,http://123.122.50.72:6688/rtp/239.3.1.174:8001
CCTV7,http://123.122.50.72:6688/rtp/239.3.1.61:8104
CCTV8,http://123.122.50.72:6688/rtp/239.3.1.175:8001
CCTV9,http://123.122.50.72:6688/rtp/239.3.1.62:8112
CCTV10,http://123.122.50.72:6688/rtp/239.3.1.63:8116
CCTV11,http://123.122.50.72:6688/rtp/239.3.1.152:8120
CCTV12,http://123.122.50.72:6688/rtp/239.3.1.64:8124
CCTV13,http://123.122.50.72:6688/rtp/239.3.1.124:8128
CCTV14,http://123.122.50.72:6688/rtp/239.3.1.65:8132
CCTV15,http://123.122.50.72:6688/rtp/239.3.1.153:8136
CCTV16,http://123.122.50.72:6688/rtp/239.3.1.184:8001
